code,name_ko,name_en,abbr,synonyms,unit,category,reference,verified,note,value_type,std_domain,canonical_format,normalization_note,synonym_count,source_count
MD-010,측정회차,Measurement Round,,wmwk,,time,"미확인 — 공통표준용어 13,176건 대조 필요",N,,text,,,'1회차' 같은 문자열. 분기/회차 개념이 소스마다 다름,1,1
MD-011,시료채취일자,Sampling Date,SPCM_PCKNG_YMD,시료채취일|WATRSMPL_DE|WTSMP_YMD,,time,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(7차 2024-11). 별도로 '채수일자' WTSMP_YMD도 등재돼 있어 어느 쪽을 쓸지 팀 규칙이 필요하다,date,연월일C8,YYYY-MM-DD,측정일자(MD-006)와 개념이 다를 수 있다(채수일 vs 분석일) — 소스별 정의 확인 필요,5,4
MD-012,측정시각,Measurement Time,,HR,,time,"미확인 — 공통표준용어 13,176건 대조 필요",N,,text,,HH24:MI,,1,1
MD-013,위도,Latitude,LAT,latDgr|latMin|latSec|REFINE_WGS84_LAT,,space,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,"공통표준용어 등재(2차 2020-12), 소관 국토교통부. 표현형식 99.9999999999",numeric,"위도N12,10",WGS84 십진도,국립환경과학원은 도/분/초 3개 필드로 분리 제공(latDgr/latMin/latSec) — 십진도 환산 필요,5,3
MD-014,경도,Longitude,LOT,lonDgr|lonMin|lonSec|REFINE_WGS84_LOGT,,space,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,"공통표준용어 등재(2차 2020-12), 소관 국토교통부. 표준 약어가 LNG/LON이 아니라 LOT다",numeric,"경도N13,10",WGS84 십진도,동일하게 lonDgr/lonMin/lonSec 분리 제공,5,3
MD-015,소재지주소,Address,LCTN_ADDR,addr|소재지|LOCPLC_ADDR|REFINE_LOTNO_ADDR,,space,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(4차 2021-12),text,주소V200,,,5,5
MD-016,도로명주소,Road Name Address,ROAD_NM_ADDR,REFINE_ROADNM_ADDR,,space,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,"공통표준용어 등재(2차 2020-12), 소관 행정안전부. 상세 주소는 제외한다고 명시됨",text,주소V200,,,2,2
MD-017,시도명,Province Name,CTPV_NM,,,space,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(2차 2020-12). 단어 시도=CTPV(Cities And Provinces),text,명V40,,'전라북도'처럼 개편 전 명칭이 데이터에 남아 있다(현 전북특별자치도),2,2
MD-018,시군구명,District Name,SGG_NM,SIGUN_NM,,space,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(2차 2020-12),text,명V40,,,4,4
MD-019,법정동시군구코드,Legal District Code,STDG_SGG_CD,SIGUN_CD|STDG_CD,,space,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,'시군구코드'는 공통표준용어에 없다(0건). 표준 명칭은 '법정동시군구코드'이므로 표준명을 그쪽으로 맞췄다. 소관 국토교통부,code,코드C3,3자리,"법정동코드 10자리 중 3~5번째 자리(110:종로구, 140:중구). 10자리 전체가 필요하면 '법정동코드' STDG_CD(코드C10)를 쓴다",4,3
MD-020,읍면동명,Town Name,,,,space,"미확인 — 공통표준용어 13,176건 대조 필요",N,,text,,,,1,1
MD-021,리명,Village Name,,동리 명,,space,"미확인 — 공통표준용어 13,176건 대조 필요",N,,text,,,,1,1
MD-022,기관명,Institution Name,INST_NM,orgNm|관련부서,,organization,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(2차 2020-12). 코드가 필요하면 '기관코드' INST_CD(코드C7). 초안의 '측정기관명'은 표준 명칭이 아니라 '기관명'이다,text,명V200,,,3,3
MD-023,용수구분명,Water Use Type,,USWTR_DIV_NM,,sampling,"미확인 — 공통표준용어 13,176건 대조 필요",N,,text,,,생활정수/공업용수 등,1,1
MD-024,채수수심,Sampling Depth,,wmdep,,sampling,"미확인 — 공통표준용어 13,176건 대조 필요",N,,numeric,,m,국립환경과학원 wmdep. 같은 지점 다른 수심의 값이 별도 행으로 오는 경우 주의,1,1
MD-025,측정결과적합여부,Compliance Result,,MESURE_RESLT_SUITBLT_YN|검사결과,,quality,"미확인 — 공통표준용어 13,176건 대조 필요",N,,boolean,,,,2,2
MD-026,초과항목명,Exceeded Item Name,,EXCESS_ITEM_NM,,quality,"미확인 — 공통표준용어 13,176건 대조 필요",N,,text,,,기준 초과 항목을 문자열로 담는다 — 측정항목 사전과 대조해 파싱 가능,1,1
MD-027,행번호,Row Number,,rowno,,record,소스 관행,N,,integer,,,API 응답 전용. 데이터 자체의 의미는 없다,1,1
MD-028,전체결과수,Total Count,,,,record,소스 관행,N,,integer,,,API 페이징 메타,1,1
MD-029,자료기준일자,Data Reference Date,DATA_CRTR_YMD,데이터기준일자,,record,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,'데이터기준일자'는 공통표준용어에 없다(0건). '데이터'는 공통표준단어에도 없고 '자료'=DATA가 정식이므로 표준명을 '자료기준일자'로 맞췄다. 실데이터 컬럼은 '데이터기준일자'로 오므로 동의어로 등록,date,연월일C8,YYYY-MM-DD,관측일이 아니라 파일 갱신일이다. 측정일자(MD-006)와 절대 혼동하면 안 된다,3,3
MD-031,검사여부,Inspection Performed,,,,quality,"미확인 — 공통표준용어 13,176건 대조 필요",N,부산 약수터 수질검사에서 확인. 미검사 행은 측정값 컬럼이 전부 비어 있으므로 적재 시 결측 사유 플래그로 쓸 수 있다,boolean,,,'검사'/'미검사' 2값. 측정 실시 자체의 여부이며 결과 적합여부(MD-025)와 다르다,1,1
MD-032,미검사사유,Non-Inspection Reason,,,,quality,"미확인 — 공통표준용어 13,176건 대조 필요",N,검사여부(MD-031)가 미검사일 때만 채워진다,text,,,자유 서술 텍스트. 코드화되어 있지 않다,1,1
